"StartDate","EndDate","Status","Duration..in.seconds.","Progress","RecordedDate","ResponseId","UserLanguage","DistributionChannel"
"Start Date","End Date","Response Type","Duration (in seconds)","Progress","Recorded Date","Response ID","User Language","Distribution Channel"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""duration""}","{""ImportId"":""progress""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""distributionChannel""}"
"2025-03-20 11:36:16","2025-03-20 11:42:52","IP Address","395","100","2025-03-20 11:42:52","R_2UarOnmWD9u66s8","EN","email"
"2025-03-20 11:05:13","2025-03-20 11:43:34","IP Address","2300","100","2025-03-20 11:43:35","R_2P5h7jTk2XkVytP","EN","email"
"2025-03-20 11:42:25","2025-03-20 11:47:26","IP Address","301","100","2025-03-20 11:47:26","R_2FagXrwVSu6hd0l","EN","email"
"2025-03-20 11:48:00","2025-03-20 11:53:07","IP Address","306","100","2025-03-20 11:53:07","R_5HXQGpp5okS4qzC","EN","email"
"2025-03-20 11:41:28","2025-03-20 11:53:33","IP Address","724","100","2025-03-20 11:53:33","R_5szUHcbd3MeOCFG","EN","email"
"2025-03-20 11:53:34","2025-03-20 11:57:41","IP Address","247","100","2025-03-20 11:57:42","R_2Rek6TSVCkJtaBB","EN","email"
"2025-03-20 12:02:07","2025-03-20 12:05:46","IP Address","218","100","2025-03-20 12:05:47","R_4dSM8UWyMdvErQj","EN","email"
"2025-03-20 12:14:59","2025-03-20 12:20:46","IP Address","347","100","2025-03-20 12:20:47","R_2HhRAKAGsRCaOhj","EN","email"
"2025-03-20 12:29:34","2025-03-20 12:36:41","IP Address","427","100","2025-03-20 12:36:42","R_3RfPTooPVfTtErx","EN","email"
"2025-03-20 12:43:57","2025-03-20 12:46:40","IP Address","163","100","2025-03-20 12:46:41","R_2MtFOqMnkHB4XKh","EN","email"
