"research_stage","emotion","mean_value"
"Project genesis","regret",2.2
"Reality check","love",1
"Preparations","regret",1.375
"Data collection","disgust",1.8
"Data analysis","disgust",1
"Report writing","contempt",2.125
"Waiting for journal","disgust",1
"Reviews and revisions","guilt",2.333
"Post-project stage","regret",3
